,ticker,date,time,title,compound
0,MSFT,May-15-23,08:10PM,Amazon Makes Major Change That Will Shake Up Shopping,0.0
1,MSFT,May-15-23,07:00PM,Amazon planning conversational AI chatbot for website search,0.1779
2,MSFT,May-15-23,05:37PM,"Stocks moving in after-hours: Berkshire Hathaway, Capital One, Beam, Tesla",0.0
3,MSFT,May-15-23,04:48PM,Amazon Wants to Train Its Customers to Do Something Different,0.1779
4,MSFT,May-15-23,03:59PM,OpenAI CEO Sam Altman set to testify before Congress Tuesday,0.0
5,MSFT,May-15-23,01:18PM,Amazon Plans to Add ChatGPT-Style Search to Its Online Store,0.1779
6,MSFT,May-15-23,12:35PM,5 Great College Graduation Gifts to Buy on Amazon,0.7003
7,MSFT,May-15-23,12:23PM,Amazon Move Hints at a Major Delivery Change,0.1779
8,MSFT,May-15-23,11:37AM,20 Most Successful Shark Tank Products Ever In 2023,0.624
9,MSFT,May-15-23,11:35AM,Amazon Games and Embracer Groups Middle-earth Enterprises Strike Deal for New The Lord of the Rings Game,0.0516
10,MSFT,May-15-23,11:31AM,"Here's What Investors Need to Know About Inflation, and 2 Stocks to Buy Now",0.0
11,MSFT,May-15-23,11:25AM,Amazon May Want to Change Delivery Expectations (You Won't Like It),-0.0284
12,MSFT,May-15-23,10:00AM,2 Top Growth Stocks to Buy Before They Skyrocket,0.5267
13,MSFT,May-15-23,09:56AM,"Stock markets, sectors open higher this morning",0.0
14,MSFT,May-15-23,09:45AM,Is MercadoLibre Stock a Buy Now?,0.0
15,MSFT,May-15-23,09:05AM,Is DigitalOcean the Best Cloud Stock to Buy for 2023?,0.6369
16,MSFT,May-15-23,08:30AM,What Happens When You Make Too Many Amazon Returns?,0.1779
17,MSFT,May-15-23,08:20AM,"Walmart, Target and Amazon are part of Zacks Earnings Preview",0.1779
18,MSFT,May-15-23,06:30AM,AI Spending Will Cloud Chip Slowdown,0.0
19,MSFT,May-15-23,06:15AM,The Fed Expects a Recession. Should You Change Your Investing Strategy?,-0.4215
20,MSFT,May-15-23,05:30AM,Inside the Writers Strike: Negotiators Explain Where Talks Broke Down,-0.5106
21,MSFT,May-15-23,04:36AM,What Makes Amazon.com (AMZN) an Attractive Investment?,0.4404
22,MSFT,May-14-23,11:11PM,20 Most Profitable Products to Sell Online in 2023,0.4927
23,MSFT,May-14-23,07:30PM,"Seas Path to Profit Paved With Layoffs, Single-Ply Toilet Paper",0.4404
24,MSFT,May-14-23,07:15PM,Billionaire Ken Fishers Top 10 Stock Picks,0.2023
25,MSFT,May-14-23,09:30AM,4 Surprising Things About Costco's Kirkland Products,0.2732
26,MSFT,May-14-23,08:00AM,Whole Foods vs. Trader Joes  Which Store Is Better for Your Money?,0.4404
27,MSFT,May-14-23,07:00AM,3 Mom Tricks I Use to Save Money While Raising Kids,0.4019
28,MSFT,May-14-23,06:45AM,2 E-Commerce Stocks You Can Buy and Hold for the Next Decade,0.0
29,MSFT,May-14-23,02:18AM,Amazon to increase delivery speed while cutting costs,0.3612
30,MSFT,May-13-23,01:20PM,"Amazon optimizes delivery network for speedier delivery, lower costs",0.3182
31,MSFT,May-13-23,10:57AM,"Amazon optimizes delivery network for speedier delivery, lower costs",0.3182
32,MSFT,May-13-23,10:29AM,"Amazon overhauls delivery network, seeking faster delivery, profits -WSJ",0.5574
33,MSFT,May-13-23,09:30AM,"Got $1,000? Here Are 3 Remarkable Stocks to Buy.",0.5574
34,MSFT,May-13-23,09:00AM,4 Reasons You Should Cancel Amazon Prime,-0.0772
35,MSFT,May-13-23,09:00AM,"Amazon Overhauls Delivery Network to Dispatch Packages Faster, More Cheaply",0.1779
36,MSFT,May-13-23,05:30AM,"Where to Invest $10,000 in a Bear Market",0.0
37,MSFT,May-12-23,04:30PM,"Looking to Invest $1,000 This Month? 2 Growth Stocks to Buy on the Dip",0.3818
38,MSFT,May-12-23,04:18PM,"These Stocks Are Moving the Most Today: Tesla, First Solar, News Corp, Icahn Enterprises, Twilio, and More",0.0
39,MSFT,May-12-23,04:08PM,AI Initiatives  And This Business  Have Google Stock On Cloud 9,0.0
40,MSFT,May-12-23,04:00PM,Shopify Just Illustrated a Powerful Lesson: Double Down on Your Best Investments,0.7906
41,MSFT,May-12-23,03:53PM,"Stock Picks: Apple, Nvidia Reveal 7 Telltale Traits For How To Invest In Stocks",0.0
42,MSFT,May-12-23,03:37PM,Retail Earnings Looming: What to Expect,-0.128
43,MSFT,May-12-23,03:06PM,10 Biggest & Most Valuable Companies in the World,0.5256
44,MSFT,May-12-23,01:09PM,"These Stocks Are Moving the Most Today: Tesla, First Solar, News Corp, Icahn Enterprises, Twilio, and More",0.0
45,MSFT,May-12-23,10:32AM,Church of England fund manager urges Amazon to recognise unions,0.1779
46,MSFT,May-12-23,09:45AM,Better Buy: Amazon vs. Apple,0.5574
47,MSFT,May-12-23,09:00AM,5 Most Luxurious Grocery Stores in the US,0.0
48,MSFT,May-12-23,09:00AM,"Amazon.com, Inc. (AMZN) Is a Trending Stock: Facts to Know Before Betting on It",0.0
49,MSFT,May-12-23,08:20AM,This Cloud Computing Stock Is Growing Faster Than AWS,0.1779
50,MSFT,May-12-23,07:00AM,"Is It Too Late To Consider Buying Amazon.com, Inc. (NASDAQ:AMZN)?",0.0
51,MSFT,May-12-23,07:00AM,Best Stock to Buy: Amazon vs. Etsy,0.7096
52,MSFT,May-12-23,06:42AM,Q1 2023 Owlet Inc Earnings Call,0.0
53,MSFT,May-12-23,06:41AM,"The Zacks Analyst Blog Highlights Meta Platforms, NVIDIA, Amazon.com, Booking Holdings and Chipotle Mexican Grill",0.0
54,MSFT,May-12-23,06:07AM,15 Most Watched TV Shows Of 2023,0.0
55,MSFT,May-12-23,06:01AM,Why AWS Is So Important to Amazon's Business,0.2716
56,MSFT,May-12-23,05:30AM,Why Amazon Isnt Checking Out of Groceries,0.1779
57,MSFT,May-12-23,03:28AM,What Makes Amazon.com (AMZN) an Attractive Long-Term Bet?,0.4404
58,MSFT,May-11-23,07:42PM,"Fees Thwart Switching Cloud Computing Providers, Critics Say",-0.296
